Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (T-sizing),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment
HTML-MY-Home Loan quote page - list view + grid view [desktop],SGP-7168,25715,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:30 AM,29/Aug/16 3:11 PM,30/Aug/16 2:02 PM,,,0,,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,1|i00cdf:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan checkout promptbox [mobile + desktop],SGP-7167,25714,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:29 AM,29/Aug/16 2:59 PM,30/Aug/16 2:02 PM,,,0,,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,18000,18000,,0%,18000,18000,,,,,,,,,,,,,1|i00cd7:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan edit detail and filter in Quote Page [mobile + desktop],SGP-7166,25713,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:28 AM,29/Aug/16 2:59 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! 
1.edit detail , filter and sortby bar style.
2.edit detail and filter panel ",qunying,,,21600,21600,,0%,21600,21600,,,,,,,,,,,,,1|i00ccz:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-HomeLoan messige tip [full site],SGP-7165,25712,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:26 AM,29/Aug/16 2:58 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,21600,21600,,0%,21600,21600,,,,,,,,,,,,,1|i00ccr:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan Calcualter [mobile + desktop],SGP-7164,25711,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:25 AM,29/Aug/16 2:58 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! 
1. in form fill
2. in landing page
3. in prepopulated page
4. in widget
5. in filter panel
",qunying,,,43200,43200,,0%,43200,43200,,,,,,,,,,,,,1|i00ccj:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan form fill [mobile + desktop],SGP-7163,25710,25704,Sub-task,In Progress,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:24 AM,30/Aug/16 10:35 AM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,1|i00ccb:,Sprint 6.7 - Team 1,,,,,Not started,,
MY - HTML - Home Loans Design,SGP-7157,25704,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Janice Lim,Janice Lim,26/Aug/16 2:22 PM,29/Aug/16 3:19 PM,30/Aug/16 2:02 PM,,,0,H-Loans,Roadmap,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",Janice Lim,,,,,,,277200,277200,,,,26/Aug/16 2:23 PM;Janice Lim;screenshot-1.png;https://woodpecker.atlassian.net/secure/attachment/25202/screenshot-1.png,,,,,,,,,1|hzzhwn:ixy8zhmij6nkjzyzm1i7,Sprint 6.7 - Team 1,77.0,,,,Not started,,
T1 - Knowledge sharing,SGP-7154,25701,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,26/Aug/16 9:21 AM,30/Aug/16 10:30 AM,30/Aug/16 10:30 AM,,,0,,,How to build the test data and test case? - [~Yanping],suzy,,,25200,25200,,0%,25200,25200,,,,,,,,SGP-1575,,,,,1|i00cbv:,Sprint 6.7 - Team 1,7.0,,,,Not started,,
T1 - Scrum - Sprint grooming meeting,SGP-7059,25408,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,19/Aug/16 11:07 AM,30/Aug/16 10:22 AM,30/Aug/16 10:22 AM,,,0,,,,suzy,,,138600,138600,,0%,138600,138600,,,,,,,,SGP-1454,,,,,1|i00bvn:,Sprint 6.7 - Team 1,38.5,,,,Not started,,
T1 - Scrum - Retrospective meeting ,SGP-7058,25407,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,19/Aug/16 11:07 AM,30/Aug/16 10:22 AM,30/Aug/16 10:22 AM,,,0,,,,suzy,,,50400,50400,,0%,50400,50400,,,,,,,,SGP-1454,,,,,1|i00bvf:,Sprint 6.7 - Team 1,14.0,,,,Not started,,
T1 - Scrum - Sprint review meeting,SGP-7057,25406,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,19/Aug/16 11:06 AM,30/Aug/16 10:22 AM,30/Aug/16 10:22 AM,,,0,,,,suzy,,,50400,50400,,0%,50400,50400,,,,,,,,SGP-1454,,,,,1|i00bv7:,Sprint 6.7 - Team 1,14.0,,,,Not started,,
T1 - Scrum - Daily Scrum,SGP-7056,25405,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,19/Aug/16 10:44 AM,30/Aug/16 10:22 AM,30/Aug/16 10:22 AM,,,0,,,,suzy,,,63000,63000,,0%,63000,63000,,,,,,,,SGP-1454,,,,,1|i00buz:,Sprint 6.7 - Team 1,17.5,,,,Not started,,
T1 - Scrum - Sprint planning meeting,SGP-7055,25404,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,suzy,suzy,19/Aug/16 10:42 AM,30/Aug/16 10:21 AM,30/Aug/16 10:21 AM,,,0,,,,suzy,,,172800,172800,,0%,172800,172800,,,,,,,,SGP-1454,,,,,1|i00bur:,Sprint 6.7 - Team 1,48.0,,,,Not started,,
SG - HL - FE - Monthly payment API,SGP-7022,25230,24905,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,16/Aug/16 11:06 AM,29/Aug/16 2:20 PM,25/Aug/16 9:41 AM,,,0,,,,JailuLi,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,1|i00boz:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - FE - Detail API,SGP-7021,25229,24905,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,16/Aug/16 11:05 AM,30/Aug/16 9:40 AM,30/Aug/16 9:40 AM,,,0,,,,JailuLi,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,1|i00bor:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - FE - Quotes API,SGP-7020,25228,25748,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,16/Aug/16 11:04 AM,30/Aug/16 9:41 AM,30/Aug/16 9:41 AM,,,0,,,,JailuLi,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,1|i00boj:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Reference rates,SGP-6948,25071,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,15/Aug/16 2:34 PM,29/Aug/16 10:53 AM,30/Aug/16 2:02 PM,,,0,,,,JailuLi,,,54000,54000,,0%,54000,54000,,,,,,,,,,,,,1|i00baj:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Loan - Discounts,SGP-6947,25070,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,15/Aug/16 2:30 PM,15/Aug/16 2:43 PM,30/Aug/16 2:02 PM,,,0,,,,JailuLi,,,50400,50400,,0%,50400,50400,,,,,,,,,,,,,1|i00bab:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Loan - Promotions,SGP-6946,25069,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,15/Aug/16 2:26 PM,29/Aug/16 10:45 AM,30/Aug/16 2:02 PM,,,0,,,"Promotion page
Sort promotions
Activities",JailuLi,,,32400,32400,,0%,32400,32400,,,,,,,,,,,,,1|i00ba3:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Loans - Coverages,SGP-6943,25066,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,Zhang Kaijun,JailuLi,JailuLi,15/Aug/16 2:23 PM,29/Aug/16 10:42 AM,30/Aug/16 2:02 PM,,,0,,,"Calculating types
* Interest rate
* Lock-in period
* Mode of interest
* Total repayment
* Total principal
* Total interest",JailuLi,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,1|i00b9f:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Coverage & group,SGP-6942,25065,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,Zhang Kaijun,JailuLi,JailuLi,15/Aug/16 2:21 PM,16/Aug/16 11:42 AM,30/Aug/16 2:02 PM,,,0,,,,JailuLi,,,32400,32400,,0%,32400,32400,,,,,,,,,,,,,1|i00b97:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Loan - Interest matrix,SGP-6941,25064,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,15/Aug/16 2:13 PM,18/Aug/16 11:46 AM,30/Aug/16 2:02 PM,,,0,,,"* Add the reference rate type for each interest matrix, like thereafter
* The reference rate type is not editable while adding/editing the rate",JailuLi,,,46800,46800,,0%,46800,46800,,,,,,,,,,,,,1|i00b8z:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - Loan add/edit page,SGP-6936,25059,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,Zhang Kaijun,JailuLi,JailuLi,15/Aug/16 1:59 PM,29/Aug/16 11:00 AM,30/Aug/16 2:02 PM,,,0,,,Bank activities + Loan activities + Checkout-info activities,JailuLi,,,46800,46800,,0%,46800,46800,,,,,,,,,,,,,1|i00b7v:,Sprint 6.7 - Team 1,,,,,Not started,,
DMS - General activities,SGP-6935,25058,24906,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,JailuLi,JailuLi,15/Aug/16 1:56 PM,29/Aug/16 11:03 AM,30/Aug/16 2:02 PM,,,0,,,,JailuLi,,,18000,18000,,0%,18000,18000,,,,,,,,,,,,,1|i00b7n:,Sprint 6.7 - Team 1,,,,,Not started,,
